id,project,commit,method,source class,target class
30,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,jwtDecoderByJwkKeySetUri,org.springframework.boot.autoconfigure.security.oauth2.resource.servlet.OAuth2ResourceServerJwtConfiguration.JwtDecoderConfiguration,org.springframework.boot.autoconfigure.security.oauth2.resource.OAuth2ResourceServerProperties.Jwt
31,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,locateAdditionalMetadataFile,org.springframework.boot.configurationprocessor.MetadataStore,org.springframework.boot.configurationprocessor.ConfigurationMetadataAnnotationProcessor
32,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,resolveJvmArguments,org.springframework.boot.maven.StartMojo,org.springframework.boot.maven.RunArguments
33,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,firstDataSource,org.springframework.boot.docs.howto.dataaccess.configuretwodatasources.MyCompleteDataSourcesConfiguration,org.springframework.boot.jdbc.DataSourceBuilder
34,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,ansi,org.springframework.boot.cli.command.shell.Shell,org.springframework.boot.cli.command.shell.AnsiString
35,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,handleNull,org.springframework.boot.actuate.quartz.QuartzEndpointWebExtension,org.springframework.boot.actuate.endpoint.web.WebEndpointResponse
36,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,doHealthCheck,org.springframework.boot.actuate.system.DiskSpaceHealthIndicator,org.springframework.boot.actuate.health.Health.Builder
37,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,main,smoketest.actuator.log4j2.SampleActuatorLog4J2Application,org.springframework.boot.SpringApplication
38,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,parseList,org.springframework.boot.json.GsonJsonParser,org.springframework.boot.json.AbstractJsonParser
39,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,domain,org.springframework.boot.actuate.autoconfigure.metrics.export.jmx.JmxPropertiesConfigAdapter,org.springframework.boot.actuate.autoconfigure.metrics.export.properties.PropertiesConfigAdapter
40,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,parseDomain,org.springframework.boot.buildpack.platform.docker.type.ImageName,org.springframework.boot.buildpack.platform.docker.type.Regex
41,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,urlConnectionSender,org.springframework.boot.actuate.autoconfigure.tracing.zipkin.ZipkinConfigurations.SenderConfiguration,org.springframework.boot.actuate.autoconfigure.tracing.zipkin.ZipkinProperties
42,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,getType,org.springframework.boot.actuate.endpoint.annotation.AbstractDiscoveredOperation,org.springframework.boot.actuate.endpoint.invoke.reflect.OperationMethod
43,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,CloudFoundrySecurityService,org.springframework.boot.actuate.autoconfigure.cloudfoundry.servlet.CloudFoundrySecurityService,org.springframework.boot.web.client.RestTemplateBuilder
44,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,run,org.springframework.boot.cli.command.shell.ClearCommand,org.springframework.boot.cli.command.status.ExitStatus
45,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,mongoMappingContext,org.springframework.boot.autoconfigure.data.mongo.MongoDataConfiguration,org.springframework.boot.context.properties.PropertyMapper.Source
46,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,buildImage,org.springframework.boot.maven.BuildImageMojo,org.springframework.boot.maven.AbstractPackagerMojo
47,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,jwtDecoder,org.springframework.boot.autoconfigure.security.oauth2.resource.reactive.ReactiveOAuth2ResourceServerJwkConfiguration.JwtConfiguration,org.springframework.boot.autoconfigure.security.oauth2.resource.OAuth2ResourceServerProperties.Jwt
48,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,getMatchOutcome,org.springframework.boot.autoconfigure.condition.OnWarDeploymentCondition,org.springframework.boot.autoconfigure.condition.ConditionOutcome
49,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,main,smoketest.oauth2.client.SampleReactiveOAuth2ClientApplication,org.springframework.boot.SpringApplication
50,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,main,smoketest.actuator.ui.SampleActuatorUiApplication,org.springframework.boot.SpringApplication
51,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,isRestartRequired,org.springframework.boot.devtools.classpath.PatternClassPathRestartStrategy,org.springframework.boot.devtools.filewatch.ChangedFile
52,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,userName,org.springframework.boot.actuate.autoconfigure.metrics.export.kairos.KairosPropertiesConfigAdapter,org.springframework.boot.actuate.autoconfigure.metrics.export.properties.PropertiesConfigAdapter
53,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,filter,org.springframework.boot.maven.ExcludeFilter,org.springframework.boot.maven.DependencyFilter
54,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,reportError,org.springframework.boot.cli.compiler.DependencyManagementBomTransformation,org.springframework.boot.cli.compiler.AnnotatedNodeASTTransformation
55,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,contribute,org.springframework.boot.actuate.info.GitInfoContributor,org.springframework.boot.actuate.info.InfoPropertiesInfoContributor
56,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,writeDefaultValue,org.springframework.boot.build.context.properties.SingleRow,org.springframework.boot.build.context.properties.Asciidoc
57,spring-projects/spring-boot,4a3299a60f90a1b84728c33aa83f076ab6a5611f,createWebServer,org.springframework.boot.web.reactive.context.ReactiveWebServerApplicationContext,org.springframework.boot.web.reactive.context.WebServerManager
58,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,prepareRequest,org.elasticsearch.xpack.ccr.rest.RestUnfollowAction,org.elasticsearch.rest.RestRequest
59,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,findMatching,org.elasticsearch.xpack.core.ml.utils.MlStrings,org.elasticsearch.common.Strings
60,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,prepareRequest,org.elasticsearch.rest.action.admin.cluster.RestDeleteStoredScriptAction,org.elasticsearch.action.support.master.MasterNodeRequest
61,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,sign,org.elasticsearch.xpack.idp.saml.support.SamlObjectSigner,org.elasticsearch.xpack.idp.saml.support.SamlFactory
62,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,routes,org.elasticsearch.xpack.transform.rest.action.RestGetTransformAction,org.elasticsearch.xpack.core.transform.TransformField
63,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,EstonianAnalyzerProvider,org.elasticsearch.analysis.common.EstonianAnalyzerProvider,org.elasticsearch.index.analysis.Analysis
64,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,innerPrepareRequest,org.elasticsearch.xpack.security.rest.action.saml.RestSamlSpMetadataAction,org.elasticsearch.xpack.core.security.action.saml.SamlSpMetadataResponse
65,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,getNamedWriteables,org.elasticsearch.legacygeo.LegacyGeoPlugin,org.elasticsearch.legacygeo.ShapesAvailability
66,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,executeCommand,org.elasticsearch.cli.keystore.ChangeKeyStorePasswordCommand,org.elasticsearch.cli.keystore.BaseKeyStoreCommand
67,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,configuredAnalyzer,org.elasticsearch.index.query.MatchQueryBuilder,org.elasticsearch.index.query.SearchExecutionContext
68,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,hashCode,org.elasticsearch.xpack.ql.expression.gen.pipeline.LeafInput,org.elasticsearch.xpack.ql.expression.gen.pipeline.Pipe
69,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,preCollection,org.elasticsearch.search.aggregations.MultiBucketCollector,org.elasticsearch.search.aggregations.BucketCollector
70,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,fromXContentStrict,org.elasticsearch.xpack.core.ml.inference.preprocessing.Multi,org.elasticsearch.xpack.core.ml.inference.preprocessing.PreProcessor.PreProcessorParseContext
71,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,parameters,org.elasticsearch.xpack.unsignedlong.UnsignedLongClientYamlTestSuiteIT,org.elasticsearch.test.rest.yaml.ESClientYamlSuiteTestCase
72,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,dataType,org.elasticsearch.xpack.sql.expression.function.aggregate.NumericAggregate,org.elasticsearch.xpack.ql.type.DataTypes
73,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,postParse,org.elasticsearch.index.mapper.IgnoredFieldMapper,org.elasticsearch.index.mapper.LuceneDocument
74,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,shouldReverse,org.elasticsearch.xpack.eql.plan.physical.EsQueryExec,org.elasticsearch.search.sort.SortBuilder
75,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,childrenResolved,org.elasticsearch.xpack.ql.plan.logical.LogicalPlan,org.elasticsearch.xpack.ql.capabilities.Resolvables
76,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,name,org.elasticsearch.xpack.analytics.action.AnalyticsInfoTransportAction,org.elasticsearch.xpack.core.XPackField
77,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,deleteDataAccessRole,org.elasticsearch.xpack.transform.integration.TransformUpdateIT,org.elasticsearch.test.rest.ESRestTestCase
78,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,getIndexTemplateMetadataUpgrader,org.elasticsearch.cluster.metadata.TemplateUpgradeServiceIT.TestPlugin,org.elasticsearch.cluster.metadata.IndexTemplateMetadata
79,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,toXContent,org.elasticsearch.search.aggregations.bucket.terms.heuristic.ScriptHeuristic,org.elasticsearch.xcontent.ParseField
80,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,size,org.elasticsearch.action.search.SearchShardIterator,org.elasticsearch.common.util.PlainIterator
81,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,RestoreSnapshotRequest,org.elasticsearch.action.admin.cluster.snapshots.restore.RestoreSnapshotRequest,org.elasticsearch.common.io.stream.StreamInput
82,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,PatternReplaceTokenFilterFactory,org.elasticsearch.analysis.common.PatternReplaceTokenFilterFactory,org.elasticsearch.common.settings.Settings
83,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,DeleteIndexRequest,org.elasticsearch.action.admin.indices.delete.DeleteIndexRequest,org.elasticsearch.common.io.stream.StreamInput
84,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,IndexAuthorizationResult,org.elasticsearch.xpack.core.security.authz.AuthorizationEngine.IndexAuthorizationResult,org.elasticsearch.xpack.core.security.authz.accesscontrol.IndicesAccessControl
85,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,RestCatAction,org.elasticsearch.rest.action.cat.RestCatAction,org.elasticsearch.rest.action.cat.AbstractCatAction
86,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,prepareRequest,org.elasticsearch.rest.action.admin.cluster.RestCreateSnapshotAction,org.elasticsearch.client.internal.support.AbstractClient
87,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,doStop,org.elasticsearch.monitor.MonitorService,org.elasticsearch.common.component.AbstractLifecycleComponent
88,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,parameters,org.elasticsearch.xpack.wildcard.WildcardClientYamlTestSuiteIT,org.elasticsearch.test.rest.yaml.ESClientYamlSuiteTestCase
89,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,parameters,org.elasticsearch.percolator.PercolatorClientYamlTestSuiteIT,org.elasticsearch.test.rest.yaml.ESClientYamlSuiteTestCase
90,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,registerAggregators,org.elasticsearch.search.aggregations.bucket.histogram.HistogramAggregatorFactory,org.elasticsearch.search.aggregations.support.ValuesSourceRegistry.Builder
91,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,waitForActiveShards,org.elasticsearch.action.support.ActiveShardsObserver,org.elasticsearch.cluster.service.ClusterService
92,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,writeTo,org.elasticsearch.cluster.health.ClusterStateHealth,org.elasticsearch.common.io.stream.StreamOutput
93,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,isVersionCompatibleAllocatingReplica,org.elasticsearch.cluster.routing.allocation.decider.NodeVersionAllocationDecider,org.elasticsearch.cluster.routing.RoutingNode
94,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,doExecute,org.elasticsearch.xpack.ml.action.TransportDeleteModelSnapshotAction,org.elasticsearch.xpack.core.ml.action.DeleteModelSnapshotAction.Request
95,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,prepareRequest,org.elasticsearch.xpack.watcher.rest.action.RestActivateWatchAction,org.elasticsearch.xcontent.XContentBuilder
96,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,Failure,org.elasticsearch.action.termvectors.MultiTermVectorsResponse.Failure,org.elasticsearch.common.io.stream.StreamInput
97,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,close,org.elasticsearch.repositories.s3.S3Service,org.elasticsearch.repositories.s3.S3Service.CustomWebIdentityTokenCredentialsProvider
98,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,getMinimalSupportedVersion,org.elasticsearch.search.aggregations.pipeline.ExtendedStatsBucketPipelineAggregationBuilder,org.elasticsearch.Version
99,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,onResponse,org.elasticsearch.action.search.SearchExecutionStatsCollector,org.elasticsearch.search.query.QuerySearchResult
100,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,createRegularGeoShapePolygon,org.elasticsearch.xpack.spatial.SpatialUtils,org.elasticsearch.geometry.Circle
101,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,indexDocument,org.elasticsearch.datastreams.AutoCreateDataStreamIT,org.elasticsearch.test.rest.ESRestTestCase
102,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,innerPrepareRequest,org.elasticsearch.xpack.security.rest.action.service.RestCreateServiceAccountTokenAction,org.elasticsearch.action.support.WriteRequest
103,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,VocabularyConfig,org.elasticsearch.xpack.core.ml.inference.trainedmodel.VocabularyConfig,org.elasticsearch.common.io.stream.StreamInput
104,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,internalPerformRequest,org.elasticsearch.client.RestHighLevelClient,org.elasticsearch.client.Response
105,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,NotSerializableExceptionWrapper,org.elasticsearch.common.io.stream.NotSerializableExceptionWrapper,org.elasticsearch.ExceptionsHelper
106,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,resize,org.elasticsearch.common.util.BigDoubleArray,org.elasticsearch.common.util.AbstractBigArray
107,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,TransportHasPrivilegesAction,org.elasticsearch.xpack.security.action.user.TransportHasPrivilegesAction,org.elasticsearch.xpack.core.security.action.user.HasPrivilegesAction
108,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,waitForShardsReady,org.elasticsearch.xpack.core.ml.utils.MlIndexAndAlias,org.elasticsearch.client.internal.Requests
109,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,replaceChildren,org.elasticsearch.xpack.sql.expression.function.scalar.datetime.DateTimeFormatPipe,org.elasticsearch.xpack.ql.tree.Node
110,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,parseRuntimeFields,org.elasticsearch.index.mapper.RuntimeField,org.elasticsearch.index.mapper.MappingParser
111,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,prepareRequest,org.elasticsearch.xpack.eql.plugin.RestEqlSearchAction,org.elasticsearch.client.internal.support.AbstractClient
112,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,newResponse,org.elasticsearch.xpack.ml.action.TransportGetDatafeedRunningStateAction,org.elasticsearch.ExceptionsHelper
113,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,DataStreamUsageTransportAction,org.elasticsearch.xpack.core.action.DataStreamUsageTransportAction,org.elasticsearch.xpack.core.action.XPackUsageFeatureAction
114,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,getFormatter,org.elasticsearch.legacygeo.mapper.LegacyGeoShapeFieldMapper.GeoShapeFieldType,org.elasticsearch.common.geo.GeometryFormatterFactory
115,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,TransportPutRoleAction,org.elasticsearch.xpack.security.action.role.TransportPutRoleAction,org.elasticsearch.xpack.core.security.action.role.PutRoleAction
116,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,performAction,org.elasticsearch.xpack.core.ilm.ShrinkStep,org.elasticsearch.cluster.metadata.IndexMetadata
117,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,dataType,org.elasticsearch.xpack.sql.expression.function.scalar.string.Char,org.elasticsearch.xpack.ql.type.DataTypes
118,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,parameters,org.elasticsearch.discovery.gce.DiscoveryGceClientYamlTestSuiteIT,org.elasticsearch.test.rest.yaml.ESClientYamlSuiteTestCase
119,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,metadataToXContent,org.elasticsearch.search.SearchParseException,org.elasticsearch.xcontent.XContentBuilder
120,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,getType,org.elasticsearch.search.aggregations.bucket.adjacency.ParsedAdjacencyMatrix,org.elasticsearch.search.aggregations.bucket.adjacency.AdjacencyMatrixAggregationBuilder
121,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,prepareRequest,org.elasticsearch.xpack.rollup.rest.RestGetRollupCapsAction,org.elasticsearch.xpack.core.rollup.action.GetRollupCapsAction
122,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,HdfsRepository,org.elasticsearch.repositories.hdfs.HdfsRepository,org.elasticsearch.cluster.metadata.RepositoryMetadata
123,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,getSupertype,org.elasticsearch.common.inject.TypeLiteral,org.elasticsearch.common.inject.internal.MoreTypes
124,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,buildTrainedModelConfig,org.elasticsearch.xpack.ml.integration.TrainedModelProviderIT,org.elasticsearch.xpack.core.ml.inference.TrainedModelConfig.Builder
125,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,SamlLogoutResponse,org.elasticsearch.xpack.core.security.action.saml.SamlLogoutResponse,org.elasticsearch.common.io.stream.StreamInput
126,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,pearsonCorrelation,org.elasticsearch.xpack.ml.integration.BucketCorrelationAggregationIT,org.elasticsearch.search.aggregations.pipeline.MovingFunctions
127,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,info,org.elasticsearch.xpack.sql.expression.function.scalar.datetime.BaseDateTimeFormatFunction,org.elasticsearch.xpack.ql.expression.function.scalar.BinaryScalarFunction
128,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,prepareDataStreamCreateIndexRequest,org.elasticsearch.action.admin.indices.rollover.MetadataRolloverService,org.elasticsearch.common.settings.Settings
129,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,assertNumberOfNodes,org.elasticsearch.cloud.azure.classic.AbstractAzureComputeServiceTestCase,org.elasticsearch.test.ESTestCase
130,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,iterateAnomalyDetectorJobs,org.elasticsearch.xpack.ml.process.MlMemoryTracker,org.elasticsearch.threadpool.ThreadPool
131,elastic/elasticsearch,dda3db54b8663b71c93784e47f544c11a4a9c3be,build,org.elasticsearch.index.analysis.CustomAnalyzerProvider,org.elasticsearch.index.analysis.AbstractIndexAnalyzerProvider
