id,label,project,refactor,methodOrNull,source class,target class,url
9619,0,apache/zeppelin,"Move Method	public run(za ZeppelinApplication, inputs List<ZDD>, params List<Param>) : List<ZDD> from class com.nflabs.zeppelin.Zeppelin to public run(za ZeppelinApplication, inputs List<ZDD>, params List<Param>) : List<ZDD> from class com.nflabs.zeppelin.zrt.ZeppelinRuntime",run,com.nflabs.zeppelin.Zeppelin,com.nflabs.zeppelin.zrt.ZeppelinRuntime,https://github.com/apache/zeppelin/commit/e552ac2092bb84e68fb771bd450c28905fb683c0
15295,2,elastic/elasticsearch,"Move Method	private validateRequiredField(fieldName String, fieldValue CharSequence, validationException ActionRequestValidationException) : ActionRequestValidationException from class org.elasticsearch.xpack.core.security.action.GrantApiKeyRequest to private validateRequiredField(fieldName String, fieldValue CharSequence, validationException ActionRequestValidationException) : ActionRequestValidationException from class org.elasticsearch.xpack.core.security.action.Grant",validateRequiredField,org.elasticsearch.xpack.core.security.action.GrantApiKeyRequest,org.elasticsearch.xpack.core.security.action.Grant,https://github.com/elastic/elasticsearch/commit/3c131e6a87fe2b4677bf864cb0ff5f7776f95d2f
30188,1,vespa-engine/vespa,"Move And Rename Method	public toValueType(valueTypeString String) : TensorType.Value from class com.yahoo.tensor.TensorTypeParser to public fromId(valueTypeString String) : Value from class com.yahoo.tensor.TensorType.Value",toValueType,com.yahoo.tensor.TensorTypeParser,com.yahoo.tensor.TensorType.Value,https://github.com/vespa-engine/vespa/commit/b32202458cce6a00686fab7bac777b6cb9ee34de
29670,2,chewiebug/GCViewer,"Move Method	private toKiloBytes(bytes long) : int from class com.tagtraum.perf.gcviewer.imp.TestDataReaderIBM_J9_R27 to public toKiloBytes(bytes long) : int from class com.tagtraum.perf.gcviewer.imp.UnittestHelper",toKiloBytes,com.tagtraum.perf.gcviewer.imp.TestDataReaderIBM_J9_R27,com.tagtraum.perf.gcviewer.imp.UnittestHelper,https://github.com/chewiebug/GCViewer/commit/440f05999c29159f2f2889534930cc49b6f80337
14566,1,vespa-engine/vespa,"Move Method	public findContact(tenant AthenzTenant) : Optional<Contact> from class com.yahoo.vespa.hosted.controller.TenantController to private findContact(tenant AthenzTenant) : Optional<Contact> from class com.yahoo.vespa.hosted.controller.maintenance.ContactInformationMaintainer",findContact,com.yahoo.vespa.hosted.controller.TenantController,com.yahoo.vespa.hosted.controller.maintenance.ContactInformationMaintainer,https://github.com/vespa-engine/vespa/commit/b105b61789d57964b2276404c87aa3a5e5ad3c71
3332,1,apache/shardingsphere,"Move And Rename Method	public create(dataSourceMap Map<String,DataSource>) : Map<String,DataSourceProperties> from class org.apache.shardingsphere.infra.datasource.props.DataSourcePropertiesCreator to private createDataSourcePropertiesMap(dataSourceMap Map<String,DataSource>) : Map<String,DataSourceProperties> from class org.apache.shardingsphere.mode.manager.cluster.ClusterContextManagerBuilder",create,org.apache.shardingsphere.infra.datasource.props.DataSourcePropertiesCreator,org.apache.shardingsphere.mode.manager.cluster.ClusterContextManagerBuilder,https://github.com/apache/shardingsphere/commit/879d31c723bb7b21a235039cd09f1a5826aee2f8
19810,0,openjdk/jdk,"Move Method	public toInt64(obj ScriptObject) : long from class jdk.nashorn.internal.runtime.JSType to private toInt64(obj JSObject) : long from class jdk.nashorn.internal.runtime.linker.JSObjectLinker",toInt64,jdk.nashorn.internal.runtime.JSType,jdk.nashorn.internal.runtime.linker.JSObjectLinker,https://github.com/openjdk/jdk/commit/d24b73ab4398cbc4df99499ddf5a099956f0d7d3
798,0,spring-projects/spring-framework,"Move Method	private growListIfNecessary(index int) : void from class org.springframework.ui.binding.support.PropertyBinding to private growListIfNecessary(index int) : void from class org.springframework.ui.binding.support.GenericBinder.GenericBindingRule",growListIfNecessary,org.springframework.ui.binding.support.PropertyBinding,org.springframework.ui.binding.support.GenericBinder.GenericBindingRule,https://github.com/spring-projects/spring-framework/commit/14dd30c5a5d1405ff394dc2d18c4ed12e785568a
16885,2,SeleniumHQ/selenium,"Move Method	private hasRequestTimedOut(request HttpRequest) : boolean from class org.openqa.selenium.grid.sessionqueue.NewSessionQueuerTest to public hasRequestTimedOut(request HttpRequest) : boolean from class org.openqa.selenium.grid.sessionqueue.NewSessionQueue",hasRequestTimedOut,org.openqa.selenium.grid.sessionqueue.NewSessionQueuerTest,org.openqa.selenium.grid.sessionqueue.NewSessionQueue,https://github.com/SeleniumHQ/selenium/commit/856f8630d13874efb6be6b0d345057e1d7662c43
10751,1,flowable/flowable-engine,"Move Method	private deployProcessResource(resource String) : String from class org.activiti.test.ActivitiTestCase to private deployProcessResource(resource String) : String from class org.activiti.test.ActivitiTestCase.ProcessDeployer",deployProcessResource,org.activiti.test.ActivitiTestCase,org.activiti.test.ActivitiTestCase.ProcessDeployer,https://github.com/flowable/flowable-engine/commit/a0ff08d95a7532ad2ae1c875968e1aea970ebdf5
21316,2,neo4j/neo4j,"Move Method	package abstract createLayout() : IndexLayout<KEY,VALUE> from class org.neo4j.kernel.impl.index.schema.LayoutTestUtil to package abstract createLayout() : IndexLayout<KEY,VALUE> from class org.neo4j.kernel.impl.index.schema.NativeIndexTestUtil",createLayout,org.neo4j.kernel.impl.index.schema.LayoutTestUtil,org.neo4j.kernel.impl.index.schema.NativeIndexTestUtil,https://github.com/neo4j/neo4j/commit/093dff9203b35f7ba83317c9f43dfc4643b2bae1
2298,1,bazelbuild/bazel,"Move Method	public checkAttributesNonEmpty(ruleErrorConsumer RuleErrorConsumer, attributes AttributeMap) : void from class com.google.devtools.build.lib.packages.RuleClass to private checkAttributesNonEmpty(attributes AttributeMap) : void from class com.google.devtools.build.lib.analysis.RuleContext.Builder",checkAttributesNonEmpty,com.google.devtools.build.lib.packages.RuleClass,com.google.devtools.build.lib.analysis.RuleContext.Builder,https://github.com/bazelbuild/bazel/commit/ec1cdc953a01b0ebfac9e10665dae6d82e5e01fd
3214,1,oracle/graal,"Move Method	protected createMove(dst AllocatableValue, src Value) : SPARCLIRInstruction from class com.oracle.graal.compiler.sparc.SPARCLIRGenerator to public createMove(dst AllocatableValue, src Value) : SPARCLIRInstruction from class com.oracle.graal.lir.sparc.SPARCMove",createMove,com.oracle.graal.compiler.sparc.SPARCLIRGenerator,com.oracle.graal.lir.sparc.SPARCMove,https///github.com/oracle/graal/commit/c4223f91b978433e56a45c034010f17bedbe2e4e
4904,1,apache/hadoop,"Move Method	public createClientDatanodeProtocolProxy(datanodeid DatanodeID, conf Configuration, socketTimeout int, connectToDnViaHostname boolean) : ClientDatanodeProtocol from class org.apache.hadoop.hdfs.DFSUtil to public createClientDatanodeProtocolProxy(datanodeid DatanodeID, conf Configuration, socketTimeout int, connectToDnViaHostname boolean) : ClientDatanodeProtocol from class org.apache.hadoop.hdfs.DFSUtilClient",createClientDatanodeProtocolProxy,org.apache.hadoop.hdfs.DFSUtil,org.apache.hadoop.hdfs.DFSUtilClient,https://github.com/apache/hadoop/commit/e2c9b288b223b9fd82dc12018936e13128413492
16989,1,signalapp/Signal-Android,"Move Method	public terminateGroupCall(currentState WebRtcServiceState) : WebRtcServiceState from class org.thoughtcrime.securesms.service.webrtc.GroupActionProcessor to protected terminateGroupCall(currentState WebRtcServiceState) : WebRtcServiceState from class org.thoughtcrime.securesms.service.webrtc.WebRtcActionProcessor",terminateGroupCall,org.thoughtcrime.securesms.service.webrtc.GroupActionProcessor,org.thoughtcrime.securesms.service.webrtc.WebRtcActionProcessor,https://github.com/signalapp/Signal-Android/commit/db7272730ea6510285acb82b318d32e78b11e12c
11262,1,opensearch-project/OpenSearch,"Move Method	public needsReassignment(nodes DiscoveryNodes) : boolean from class org.elasticsearch.persistent.PersistentTasksCustomMetaData.PersistentTask to package needsReassignment(assignment Assignment, nodes DiscoveryNodes) : boolean from class org.elasticsearch.persistent.PersistentTasksClusterService",needsReassignment,org.elasticsearch.persistent.PersistentTasksCustomMetaData.PersistentTask,org.elasticsearch.persistent.PersistentTasksClusterService,https://github.com/opensearch-project/OpenSearch/commit/b57bd695f237693a22c994cf544ec2ecbaebaa1c
25804,2,flowable/flowable-engine,"Move Method	public delete(id String) : void from class org.flowable.mongodb.persistence.manager.MongoDbHistoricProcessInstanceDataManager to public delete(id String) : void from class org.flowable.mongodb.persistence.manager.AbstractMongoDbDataManager",delete,org.flowable.mongodb.persistence.manager.MongoDbHistoricProcessInstanceDataManager,org.flowable.mongodb.persistence.manager.AbstractMongoDbDataManager,https://github.com/flowable/flowable-engine/commit/a1256e830696983f5ac8b0dfe020adc0cb7677d7
24687,2,pentaho/pentaho-kettle,"Move Method	public testStepChangeListener() : void from class org.pentaho.di.trans.TransMetaTest to public testStepChangeListener() : void from class org.pentaho.di.trans.steps.metainject.MetaInjectTest",testStepChangeListener,org.pentaho.di.trans.TransMetaTest,org.pentaho.di.trans.steps.metainject.MetaInjectTest,https://github.com/pentaho/pentaho-kettle/commit/5f8aabe9a5f3591bd63e23121b26d209f913062a
19958,1,baomidou/mybatis-plus,"Move Method	public setSqlSessionFactory(sqlSessionFactory SqlSessionFactory) : void from class com.baomidou.mybatisplus.entity.TableInfo to public setSqlSessionFactory(sqlSessionFactory SqlSessionFactory) : void from class com.baomidou.mybatisplus.entity.MybatisGlobalCache",setSqlSessionFactory,com.baomidou.mybatisplus.entity.TableInfo,com.baomidou.mybatisplus.entity.MybatisGlobalCache,https://github.com/baomidou/mybatis-plus/commit/311535fe0edfbb959abd377fab6a432f687e72ff
18606,2,oracle/graal,"Move Method	public testWriteIntToByteArraySnippet() : int from class org.graalvm.compiler.core.test.ea.UnsafeEATest to public testWriteIntToByteArraySnippet() : int from class org.graalvm.compiler.core.test.UnsafeReadEliminationTest",testWriteIntToByteArraySnippet,org.graalvm.compiler.core.test.ea.UnsafeEATest,org.graalvm.compiler.core.test.UnsafeReadEliminationTest,https///github.com/oracle/graal/commit/d1dfea645976ea4039d86e4fc8479a7594ebaf8e
15379,1,elastic/elasticsearch,"Move Method	private getOnlyIndexSettings(index String) : Map<String,Object> from class org.elasticsearch.xpack.ilm.TimeSeriesLifecycleActionsIT to public getOnlyIndexSettings(client RestClient, index String) : Map<String,Object> from class org.elasticsearch.xpack.TimeSeriesRestDriver",getOnlyIndexSettings,org.elasticsearch.xpack.ilm.TimeSeriesLifecycleActionsIT,org.elasticsearch.xpack.TimeSeriesRestDriver,https://github.com/elastic/elasticsearch/commit/c906f631833fee8628f898917a8613a1f436c6b1
14010,0,CalebFenton/simplify,"Move Method	package cloneRegisterValue(value Object) : Object from class org.cf.smalivm.context.BaseState to private cloneRegisterValue(value Object) : Object from class org.cf.smalivm.context.Heap",cloneRegisterValue,org.cf.smalivm.context.BaseState,org.cf.smalivm.context.Heap,https://github.com/CalebFenton/simplify/commit/ca6bfc88412ffa22b77417d82ee7f6a3382db72f
8239,1,airbytehq/airbyte,"Move And Rename Method	private createTestWorkspace() : void from class io.dataline.workers.BaseWorkerTestCase to private createWorkspace() : void from class io.dataline.workers.singer.BaseSingerWorker",createTestWorkspace,io.dataline.workers.BaseWorkerTestCase,io.dataline.workers.singer.BaseSingerWorker,https://github.com/airbytehq/airbyte/commit/636c5dda3af04e145665884dd7316957c522edd1
11932,1,gephi/gephi,"Move And Rename Method	private getRowNumbersForColumns(row Attributes, columns AttributeColumn[]) : Number[] from class org.gephi.datalaboratory.impl.AttributeColumnsMergeStrategiesControllerImpl to public getRowNumbers(row Attributes, columns AttributeColumn[]) : Number[] from class org.gephi.datalaboratory.impl.AttributeColumnsControllerImpl",getRowNumbersForColumns,org.gephi.datalaboratory.impl.AttributeColumnsMergeStrategiesControllerImpl,org.gephi.datalaboratory.impl.AttributeColumnsControllerImpl,https://github.com/gephi/gephi/commit/23c62a4b41aea4f16b8008cf41eed84db4a93f99
24543,2,AsyncHttpClient/async-http-client,"Move And Rename Method	package setHttpTransactionContext(storage AttributeStorage, httpTransactionState HttpTransactionContext) : void from class org.asynchttpclient.providers.grizzly.GrizzlyAsyncHttpProvider to public set(storage AttributeStorage, httpTransactionState HttpTransactionContext) : void from class org.asynchttpclient.providers.grizzly.HttpTransactionContext",setHttpTransactionContext,org.asynchttpclient.providers.grizzly.GrizzlyAsyncHttpProvider,org.asynchttpclient.providers.grizzly.HttpTransactionContext,https://github.com/AsyncHttpClient/async-http-client/commit/2c3ec3c6eb73ca27a0dcccd981b18b0096fdba09
17509,1,jenkinsci/jenkins,"Move And Rename Method	private load(properties String) : Properties from class hudson.util.ArgumentListBuilder to public loadProperties(properties String) : Properties from class hudson.Util",load,hudson.util.ArgumentListBuilder,hudson.Util,https://github.com/jenkinsci/jenkins/commit/149ab92a8be15584cc22bfea8c8644936bedafc2
14152,1,apache/pinot,"Move Method	private validateSchema() : void from class org.apache.pinot.core.data.readers.AvroRecordReader to public validateSchema(schema Schema, avroSchema Schema) : void from class org.apache.pinot.core.util.AvroUtils",validateSchema,org.apache.pinot.core.data.readers.AvroRecordReader,org.apache.pinot.core.util.AvroUtils,https://github.com/apache/pinot/commit/69db49139e0acec1c76398c71420cb5832622703
30475,2,querydsl/querydsl,"Move Method	public serialize(literal String, jdbcType int) : String from class com.querydsl.sql.DB2Templates to public serialize(literal String, jdbcType int) : String from class com.querydsl.sql.CUBRIDTemplates",serialize,com.querydsl.sql.DB2Templates,com.querydsl.sql.CUBRIDTemplates,https://github.com/querydsl/querydsl/commit/866664aca020e8447e33bbbc583bcb5e5d18a2d4
23651,1,SonarSource/sonarqube,"Move Method	private isShortLivingBranch() : boolean from class org.sonar.scanner.report.ComponentsPublisher to public isShortLivingBranch() : boolean from class org.sonar.scanner.scan.BranchConfiguration",isShortLivingBranch,org.sonar.scanner.report.ComponentsPublisher,org.sonar.scanner.scan.BranchConfiguration,https://github.com/SonarSource/sonarqube/commit/39c110298f71325ce73d584e5034acc904c32c40
27678,2,vavr-io/vavr,"Move Method	public spliterator() : Spliterator<T> from class javaslang.collection.Array to public spliterator() : Spliterator<T> from class javaslang.Value",spliterator,javaslang.collection.Array,javaslang.Value,https://github.com/vavr-io/vavr/commit/16b3a238cc4acb1b4a6c8fbf6f55d54e5943d8b9
27903,2,go-lang-plugin-org/go-lang-idea-plugin,"Move Method	protected getProjectDescriptor() : LightProjectDescriptor from class com.goide.psi.legacy.GoLegacyResolveBuiltinTest to protected getProjectDescriptor() : LightProjectDescriptor from class com.goide.GoCodeInsightFixtureTestCase",getProjectDescriptor,com.goide.psi.legacy.GoLegacyResolveBuiltinTest,com.goide.GoCodeInsightFixtureTestCase,https://github.com/go-lang-plugin-org/go-lang-idea-plugin/commit/7f8f0dd7a34f342318fe90dcbea4a29c3b6bc278
13162,1,apache/hive,"Move Method	public initSpillTables() : void from class org.apache.hadoop.hive.ql.plan.joinDesc to private initSpillTables() : void from class org.apache.hadoop.hive.ql.exec.CommonJoinOperator",initSpillTables,org.apache.hadoop.hive.ql.plan.joinDesc,org.apache.hadoop.hive.ql.exec.CommonJoinOperator,https://github.com/apache/hive/commit/2e95b5a20fe746bff525db783cebdf54187bf166
7769,1,seven332/EhViewer,"Move Method	private int2boolean(integer int) : boolean from class com.hippo.ehviewer.widget.CategoryTable to public int2boolean(integer int) : boolean from class com.hippo.ehviewer.util.Util",int2boolean,com.hippo.ehviewer.widget.CategoryTable,com.hippo.ehviewer.util.Util,https://github.com/seven332/EhViewer/commit/1d6e6277d8499c47a7c1b5d4b60fecf052bb8f4b
